split,windows,positives,threshold,accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp
train,33280,0,1.7281285345554358,0.9849759615384616,0.0,0.0,0.0,,,32780,500,0,0
valid,9984,4160,1.7281285345554358,0.7308693910256411,0.9444779722389861,0.3762019230769231,0.5380780471033179,0.8035029742643174,0.7969140011816345,5732,92,2595,1565
test,13312,5630,1.7281285345554358,0.7278395432692307,0.938018332605849,0.38170515097690944,0.542608256533266,0.7834839164053544,0.7797627213098385,7540,142,3481,2149
